nm_id,cost
0,0.0
99866376,0.0
158393324,0.0
201151700,0.0
207533571,0.0
236605579,750.0
271448650,0.0
271448651,0.0
271448652,0.0
271448653,0.0
277569629,1300.0
280399746,1300.0
333982654,0.0
364832447,0.0
369791281,1400.0
369819868,0.0
369835043,0.0
372152346,0.0
402231849,0.0
453405033,0.0
496612525,1300.0
568828732,0.0
693226439,2000.0
693601607,1800.0
694838247,0.0
705449446,900.0
711855155,170.0
716415687,220.0
716625426,350.0
720092215,800.0
720093146,220.0
727077555,0.0
740387436,100.0
753079784,320.0
762380636,0.0
762421670,600.0
762422759,0.0
762489869,600.0
762659379,0.0
767652168,100.0
806600331,400.0
824963097,250.0
825057950,100.0
825057951,120.0
851340419,350.0
851525449,450.0
856997411,250.0
872835729,0.0
872838989,950.0
872848193,450.0
872848618,0.0
874145079,0.0
878691100,950.0
882194207,600.0
890224358,800.0
897942610,450.0
